Lid,Address,Latitude,Longitude
P1642,"101 Stewart St, North Liberty, Indiana, USA",41.534473,-86.43132
P1184,"1013 S. Jackson St., Mishawaka, Indiana",41.652321,-86.198961
P2687,"111 E. Jackson, Lakeville, Indiana",41.526983,-86.272511
P0076,"1125 North Fremont Street, South Bend, Indiana",41.689823,-86.285181
P1267,"119 1/2 Chestnut, South Bend, Indiana",41.675364,-86.271824
P3688,"1202 E. Mishawaka Ave. , Mishawaka, Indiana",41.666534,-86.160734
P0182,"1314 Wabash Street , Michigan City , Indiana",41.709081,-86.900997
P1268,"1343 Bowman Street, Indiana, USA",,
P1178,"14284 Fureka Ave. , Mishawaka, Indiana",42.886447,-78.878369
P1043,"1728 Prairie Avenue, Indiana, USA",39.764395,-86.403457
P1795,"19397 Brick Rd, South Bend, Indiana",41.737935,-86.243722
P0008,"202 1/2 Cherry St., New Carlisle, St Joseph, Indiana, USA",37.96739,-87.570376
P1799,"205 East Elder Street, Indiana, USA",,
P1036,"2117 Vassar Ave., South Bend, Indiana",41.689367,-86.281044
P0097,"218 North Birdsell street, South Bend, Indiana",41.678827,-86.272842
P1042,"2365 Flint Court, Indiana",41.65005,-85.127192
P1617,"24117 Osborne Rd. South Rend, Indiana",,
P0009,"32856 Cardinal Ct., New Carlisle, Indiana, USA",41.681402,-86.502921
P1031,338 North Olive Street in South Bend,41.680104,-86.283358
P0077,"402 Birdsell St.,South Bend, St Joseph, Indiana, USA",41.680506,-86.273363
P1204,"4th M C D, Tipton, Tennessee, USA",35.414319,-89.818781
P1026,"501 Lamport St. , Osceola, Indiana",41.668341,-86.078723
P1196,"54591 Fir , South Rend, Indiana",,
P1179,"60409 Cedar Road . Mishawaka, Indiana",41.616307,-86.102993
P1262,"614 S. 25th St., South Rend, Indiana",,
P1052,"62 4 S. Rush St.,South Rend, Indiana",,
P1806,"65347 Ash Road , Wakarusa, Indiana",41.54493,-86.059945
P1803,"8664 Lake-Wood Ave. , Gary, Indiana, USA",41.614142,-87.233058
P0015,"Ada, Oklahoma, USA",34.748961,-96.685325
P1183,Alabama,32.739632,-86.843459
P0469,"Algonquin, Illinois, USA",42.164741,-88.308625
P0146,"Andes, Delaware, New York, USA",42.12923,-74.843187
P0014,"Arenberg-Immendorf, Koblenz, Rhineland-Palatinate, Germany",50.3650803,7.6669661
P0195,"Argos, Marshall, Indiana, USA",39.8481,-87.18779
P1205,Arkansas,34.895526,-92.444626
P1215,"Ashland, Ohio, USA",40.826965,-82.296131
P0474,"Aurora, Dearborn, Indiana, USA",39.057,-84.90134
P0035,"Bad Kreuznach, Rhineland-Palatinate, Germany",49.8490413,7.8626661
P2686,"Battle Creek, Calhoun, Michigan, USA",42.303041,-85.13044
P0126,"Bedford, Bedford, Pennsylvania, United States",40.386747,-78.678064
P0475,"Beecher City, Illinois, USA",39.194098,-88.760126
P4138,"Berlin, Somerset, Pennsylvania, USA",39.860992,-79.064873
P0172,"Bern, Berks, Pennsylvania",40.030058,-75.45644
P4176,Berrien,31.288652,-83.22787
P0879,"Bethel Park, Pennsylvania, USA",40.32757,-80.0395
P0123,"Big Beaver, Lawrence County, Pennsylvania, USA",40.830358,-80.32639
P1980,"Bitburg, Rheinland, Preußen, Germany",51.5,10.5
P4112,"Bloomfield, Benton, Arkansas, USA",34.485476,-92.585282
P0003,"Bloomington, Indiana, USA",39.07881,-86.435094
P2795,"Blue River, Hancock, Indiana, USA",39.822529,-85.77315
P1874,"Boone, Porter, Indiana, USA",41.674089,-86.905098
P1208,"Bourbon, Marshall, Indiana, USA",41.29231,-86.118271
P1023,"Bradenton, Florida, USA",27.404731,-82.470456
P1801,"Bradley, Ohio",,
P0604,"Bradley, Tennessee, USA",35.153914,-84.859414
P0039,"Bremen-Grohn, Germany",53.1677233,8.6511657
P0144,"Bremen, Marshall, Indiana, USA",39.8481,-87.18779
P0174,"Brothersvalley, Somerset, Pennsylvania, USA",39.990045,-79.08745
P0447,"Brownsburg, Indiana, USA",39.84338,-86.39777
P0460,"Buchach, Ternopil, Ukraine",49.059020,25.386130
P0088,"Bushkill, Northampton, Pennsylvania, USA",40.693451,-75.222213
P0057,California,37.155177,-119.543418
P1199,"Calloway, Kentucky, USA",36.620978,-88.274086
P1030,"Campbell, California, USA",37.278563,-121.955101
P2034,Canada,56.130367,-106.346771
P0098,"Canton, Stark, Ohio, USA",40.79979,-81.375811
P3377,"Cape Coral, Florida, USA",26.606491,-81.95016
P2826,"Carroll, Vermilion, Illinois, United States",39.58115,-87.58891
P1616,"Cass County, Michigan, USA",41.9299,86.0122
P3356,"Cass Twp, Cass, Pulaski, Indiana, USA",40.975318,-86.658343
P0264,"Cass, La Porte, Indiana, USA",41.592438,-87.280093
P3353,"Cass, Pulaski, Indiana, USA",41.218005,-86.425163
P0920,"Center Twp, LaPorte, Indiana, USA",41.537585,-86.73764
P0107,"Center, Grant, Indiana, USA",40.531266,-86.169537
P1173,"Center, Plymouth, Marshall, Indiana, USA",39.8481,-87.18779
P0471,"Cerro Gordo, Piatt, Illinois, USA",39.88603,-88.68207
P0465,"Charleston, Illinois, USA",39.499622,-88.160348
P0446,"Charlestown, Indiana, USA",38.459992,-85.615235
P1780,"Charlotte, Florida, United States",26.906396,-82.003657
P2230,"Chester, Pennsylvania, United States",39.848163,-75.378098
P1037,"Chesterton, Porter County, Indiana, United States of America",41.613626,-87.04613
P0438,"Chicago, Cook, Illinois, USA",41.88531,-87.62213
P0028,"Chlopczyce, Lviv Oblast, Ukraine",49.717280,23.916570
P4214,"Chodel, Lublin, Poland",43.232502,-75.07288
P1177,"Chrisman, Illinois, USA",39.77859,-87.687638
P2696,"Cicero, Tipton, Indiana, USA",40.262603,-86.036499
P0140,"Clay, St Joseph, Indiana, USA",41.671219,-86.192381
P0276,"Clermont County, Ohio, USA",39.052054,-84.149485
P0279,"Clinton, La Porte, Indiana, USA",41.477244,-86.874027
P1789,"Cool Spring, Laporte, Indiana, USA",41.537585,-86.73764
P1032,"Corona, California, USA",33.752886,-116.055617
P0128,"Covington, Miami, Ohio, USA",40.11727,-84.35384
P0478,"Dearborn County, Indiana, USA",39.140897,-84.975868
P2859,"Decatur County, Indiana, USA",39.30598,-85.499831
P1167,"Dekalb, Illinois, USA",41.92947,-88.75036
P2697,"Delphi, Indiana, USA",40.580452,-86.637891
P0010,"DeMotte, Jasper, Indiana, USA",38.360357,-86.929481
P0451,"Des Plaines, Illinois, USA",42.048278,-87.890466
P1038,"Detroit, Michigan",42.347021,-83.060184
P2035,"Henry, Kentucky, USA",38.598450,-85.144790
P0607,"District 7 Subdivision 42, Hamilton, Tennessee, USA",36.256830,-86.830190
P0588,"District 7, Bradley, Tennessee, USA",35.153914,-84.859414
P4169,"Dunham, Québec, Canada",45.216692,-72.867853
P4152,"Effingham, Illinois, USA",39.116649,-88.545705
P1190,"Elgin , Illinois, USA",42.034492,-88.238396
P4103,"Elizabeth, Virginia, USA",40.065070,-82.849920
P0170,"Elk Lick, Somerset, Pennsylvania, United States",39.810215,-79.018517
P1419,"Elkhart County, Indiana, USA",41.600693,-85.863986
P2684,"Emmett, Calhoun, Michigan, USA",43.03545,-82.800896
P0116,"Emmitsburg, Frederick, Maryland, USA",39.632102,-77.40762
P2691,"Etna Green, IN",41.27893,-86.04611
P2037,"Fayette County, Illinois, USA",39.001125,-89.017923
P2018,"Fayette, Illinois, USA",39.001125,-89.017923
P0275,"Fort D A Russell, Laramie, Wyoming, USA",41.303351,-105.589699
P0895,"Fort Wayne, Allen, Indiana, USA",41.065397,-85.15842
P3359,"Francesville, Pulaski, Indiana, USA",40.984442,-86.83465
P4145,"Frederick, Maryland, USA",39.443551,-77.33294
P0596,"Galena, Cherokee, Kansas, USA",37.065914,-94.636887
P1169,"Galien, Michigan, USA",41.81146,-86.499237
P1787,"Gary, Lake, Indiana, USA",41.599336,-87.336338
P0602,"Georgia, USA",32.629579,-83.423511
P0117,"German, Bremen, Marshall, Indiana, USA",39.8481,-87.18779
P0029,Germany,50.5,10.5
P0032,"gneisenau barracks, Koblenz, Rhineland-Palatinate, Germany",50.35357,7.57883
P1165,"Goshen, Indiana, USA",41.584839,-85.858059
P1197,"Granger, Indiana, USA",41.734912,-86.139868
