Marriage,Husband,Wife,Date,Place,Note
F0001,I102460934962,I102460934964,1801-02-03,P1976,
F0004,I102460931391,,1865-10-15,P0590,
F0097,,I102460934810,1996-02-03,P0108,
F0098,,I102460934811,1994-07-23,P0025,
F0142,,,,,
F0143,I102460931898,,1959-02-14,,
F0174,,I102460931893,1990-06-23,P0004,
F0176,,,,,
F0177,I102460934206,I102460931678,1975-05-10,P4070,
F0178,I102460934206,,1936,P4071,
F0196,,I102460934097,2001-07-18,P0202,
F0199,,,,,
F0200,I102460931903,,,,
F0202,I102460934239,,1995-05-06,P0942,
F0204,I102460931286,I102460934244,,,
F0207,I102460931681,I102460934224,,,
F0208,I102460931681,,1925-10-15,P4075,
F0209,I102460934231,I102460931680,,,
F0210,I102460931681,,1951-11-10,P0004,
F0212,,,,,
F0214,,,,,
F0215,I102460934208,I102460931678,1938-12-24,P4076,
F0216,,,,,
F0217,,,,,
F0225,,I102460931291,,,
F0226,,I102460931292,,,
F0227,I102460934312,I102460931935,,,
F0230,I102460934292,I102460934293,,,
F0234,,,,,
F0236,I0004,I102460931109,,,
F0243,,,,,
F0246,I102460934346,I102460934352,,,
F0254,I102460931891,I102460931669,1962-06-30,P0041,
F0255,,I102460931894,1995-09-02,P0041,
F0256,I102460931892,,1996-06-22,P0004,
F0257,I102460931898,I102460931795,1999-05-01,P4077,
F0258,I102460931896,I102460932533,19 Oct,P0202,
F0259,I102460931897,I102460931795,1957-03-30,,
F0260,I102460931903,I102460931796,2003-06-14,P0025,
F0261,I102460931900,I102460931796,1956-05-12,P0202,
F0264,I102460931884,I102460931671,1976-06-12,P0012,
F0265,I102460931885,,2003-10-18,P4083,
F0276,I102460931944,I102460931667,1977-11-15,P0041,
F0277,I102460931944,,1996-06-15,P0004,
F0279,I102460933404,I102460931924,,,
F0280,I102460931934,I102460934101,,,
F0281,I102460931932,I102460934099,,,
F0282,I102460931117,I102460931906,1964-09-19,P0025,
F0283,I102460931798,I102460931907,1959-08-29,,
F0284,I102460931794,I102460931904,1966-01-22,P0025,
F0285,I102460931910,I102460931797,1955-11-26,P4087,
F0286,I102460931799,I102460931908,1962-11-10,P1727,
F0287,I102460931914,I102460933407,1941-11-01,P0213,
F0288,,,1895-02-28,P3439,
F0290,I102460931912,I102460933406,,,
F0291,I102460931913,I102460933419,1959-04-01,P0213,
F0298,I102460932031,I102460932499,,,
F0314,,I102460931126,1856-06-29,P0144,
F0329,,,1977-03-19,P0065,
F0330,,,1936-11-07,P0065,
F0331,,,,,
F0368,I102460931683,I102460931685,,P4103,
F0369,I102460931686,I102460931680,1934-06-30,P4104,
F0370,I102460931684,I102460933504,1919-02-17,P4043,
F0372,I102460932613,I102460931670,1940-06-27,P4105,
F0373,I102460931679,I102460933834,,,
F0387,I102460932252,I102460931826,1919-06-07,P0065,
F0388,I102460932247,I102460931824,1919-03-21,P1394,
F0389,I102460931835,I102460931836,,,
F0390,I102460931835,,,,
F0391,I102460932461,I102460931810,1941-06-17,P0065,
F0392,I102460932417,I102460931811,1940-04-06,P0025,
F0393,I102460931808,I102460932480,1955-02-19,P1050,
F0394,I102460932482,I102460931809,1955-07-23,P4108,
F0395,I102460931813,I102460931814,1890-02-03,P4109,
F0396,I102460931812,I102460932493,1954-10-09,P1050,
F0399,I102460931816,I102460931817,,,
F0400,I102460931114,,1933-06-24,P1028,
F0401,I102460931823,I102460932256,1926-06-02,P1394,
F0402,I102460931823,I102460932566,,,
F0403,I102460932255,I102460931820,1921-06-25,P0065,
F0404,I102460932472,I102460931802,1947,,
F0405,I102460932437,I102460931803,1932,P0065,
F0406,I102460932465,I102460931800,1942-05-22,P1050,
F0407,I102460932441,I102460931801,1938-03-12,P0065,
F0408,I102460932458,I102460931806,1941-04-19,P1050,
F0409,,I102460931806,1964-08-29,P0041,
F0410,I102460932448,I102460931807,,,
F0411,I102460931804,,1947-06-21,P1050,
F0412,I102460931805,I102460932425,,,
F0416,I102460931786,I102460931106,1994-10-29,P4077,
F0417,I102460931107,I102460931787,1998-07-25,P0908,
F0418,I102460931789,I102460931790,1989-09-23,P0025,
F0419,,I102460931790,2011-09-19,P4077,
F0420,I102460931789,I102460931791,,,
F0429,I102460931391,I102460931392,1871-10-09,P4112,
F0479,I102460931393,I102460931394,1824,P0606,
F0485,I102460931178,I102460931519,1849-11-01,P0925,
F0486,,I102460931519,1863,,
F0533,I102460931123,I102460931122,1868-02-02,P1028,
F0534,I102460931120,I102460931121,1863-02-07,P4123,
F0535,I102460931127,I102460931126,1839-01-22,P4124,
F0536,I102460931125,I102460931124,1838-09-09,P0478,
F0537,I102460931130,I102460931131,1836,P0131,
F0538,I102460931130,,,,
F0540,I102460931128,I102460931129,1823-06-15,P0080,
F0541,I102460931128,,1816,P2200,
F0542,I102460931137,I102460931134,1801-03-26,P4126,
F0543,,I102460931134,1820,P0145,
F0544,I102460931135,I102460931136,1811-12-26,P4127,
F0545,I102460931132,I102460931133,1817,P0129,
F0547,I102460931104,I102460931105,1964-01-11,P4128,
